"","stimpergroup","mean","group","CI_upper","CI_lower"
"1",5,0.918085228920303,"Random",0.93045695436509,0.905713503475516
"2",5,1.32694254226823,"Software",NA,NA
"3",10,1.07604793905634,"Random",1.08617643388313,1.06591944422955
"4",10,1.76870279229405,"Software",NA,NA
"5",15,1.14856298312376,"Random",1.15766104358013,1.13946492266739
"6",15,1.69534206272613,"Software",NA,NA
"7",20,1.18336873405018,"Random",1.19067209836293,1.17606536973743
"8",20,1.85711667968324,"Software",NA,NA
"9",25,1.22152834705705,"Random",1.22839275520166,1.21466393891244
"10",25,1.79882244597083,"Software",NA,NA
"11",30,1.23810251237127,"Random",1.24423928264672,1.23196574209583
"12",30,1.81270614459962,"Software",NA,NA
"13",35,1.2531503877988,"Random",1.25838424999359,1.24791652560402
"14",35,1.86258121353391,"Software",NA,NA
"15",40,1.25770188017278,"Random",1.26236656423929,1.25303719610627
"16",40,1.86862793309963,"Software",NA,NA
"17",45,1.270261168426,"Random",1.27440888710619,1.2661134497458
"18",45,1.85052968309721,"Software",NA,NA
"19",50,1.2825146445369,"Random",1.28632139135635,1.27870789771745
"20",50,1.81449718723217,"Software",NA,NA
"21",55,1.28565012284079,"Random",1.28905589581557,1.28224434986601
"22",55,1.8235427624791,"Software",NA,NA
"23",60,1.28632706336639,"Random",1.28915737096675,1.28349675576603
"24",60,1.73597779113255,"Software",NA,NA
"25",65,1.29301466659556,"Random",1.29539562608728,1.29063370710384
"26",65,1.74439624973898,"Software",NA,NA
"27",70,1.29744778954017,"Random",1.29933122759038,1.29556435148996
"28",70,1.78864428736846,"Software",NA,NA
"29",75,1.29936972758334,"Random",1.30064082316361,1.29809863200306
"30",75,1.72650630914548,"Software",NA,NA
"31",80,1.30309699073417,"Random",1.30309699073417,1.30309699073417
"32",80,1.70146006639065,"Software",NA,NA
