"","stimpergroup","mean","group","CI_upper","CI_lower"
"1",1,0.539557616434412,"Random",0.554570579171855,0.524544653696968
"2",1,NA,"Software",NA,NA
"3",2,0.691296794276176,"Random",0.70544120618163,0.677152382370721
"4",2,NA,"Software",NA,NA
"5",3,0.784661482935475,"Random",0.797902544327433,0.771420421543517
"6",3,0.902568822023797,"Software",NA,NA
"7",4,0.857426514263987,"Random",0.870216790829419,0.844636237698554
"8",4,1.05964521703153,"Software",NA,NA
"9",5,0.91791369509976,"Random",0.930241645905842,0.905585744293677
"10",5,1.32694254226823,"Software",NA,NA
"11",6,0.976809243644189,"Random",0.988933058353618,0.964685428934759
"12",6,1.48716481764951,"Software",NA,NA
"13",7,1.00058499694422,"Random",1.01194176157143,0.989228232317017
"14",7,1.45744796150645,"Software",NA,NA
"15",8,1.03186359511433,"Random",1.04283771065319,1.02088947957548
"16",8,1.64915215547366,"Software",NA,NA
"17",9,1.05755076069385,"Random",1.0682311133767,1.046870408011
"18",9,1.79840351846533,"Software",NA,NA
"19",10,1.08843596255762,"Random",1.09907525743876,1.07779666767647
"20",10,1.76870279229405,"Software",NA,NA
"21",11,1.09198733044757,"Random",1.10180301035883,1.08217165053631
"22",11,1.79784240431383,"Software",NA,NA
"23",12,1.11085285701053,"Random",1.12046418500704,1.10124152901403
"24",12,1.73300886336912,"Software",NA,NA
"25",13,1.13085075799841,"Random",1.14011367328581,1.12158784271101
"26",13,1.61789730971616,"Software",NA,NA
"27",14,1.13656718477326,"Random",1.14560271698239,1.12753165256412
"28",14,1.73348990288018,"Software",NA,NA
"29",15,1.14969116195348,"Random",1.15856676988827,1.14081555401869
"30",15,1.69534206272613,"Software",NA,NA
"31",16,1.15942089894847,"Random",1.16821292326207,1.15062887463487
"32",16,1.72365540687966,"Software",NA,NA
"33",17,1.16288231905897,"Random",1.1710832822515,1.15468135586644
"34",17,1.76908959446756,"Software",NA,NA
"35",18,1.17919453706173,"Random",1.18740270358241,1.17098637054105
"36",18,1.69369636038492,"Software",NA,NA
"37",19,1.18148225260688,"Random",1.18935427009818,1.17361023511557
"38",19,1.75126843884056,"Software",NA,NA
"39",20,1.18593357048772,"Random",1.193132814572,1.17873432640344
"40",20,1.85711667968324,"Software",NA,NA
"41",21,1.19768205044754,"Random",1.20498494055416,1.19037916034093
"42",21,1.8548446016543,"Software",NA,NA
