"group","subject","blockcode","trialcode","trialnum","values.stimulus","response","correct","latency"
"3","3","encoding","encoding","1","Chest.jpg","2","0","1814"
"3","3","encoding","encoding","2","Armchair.jpg","2","0","936"
"3","3","encoding","encoding","3","Pen_Ballpoint.jpg","1","0","1753"
"3","3","encoding","encoding","4","Whip.jpg","2","0","1921"
"3","3","encoding","encoding","5","DrillBit.jpg","2","0","1990"
"3","3","encoding","encoding","6","Jug_Milk.jpg","3","0","1973"
"3","3","encoding","encoding","7","Steamer.jpg","2","0","1941"
"3","3","encoding","encoding","8","Sock_Ankle.jpg","3","0","2069"
"3","3","encoding","encoding","9","Toolbox_RedOpen.jpg","2","0","2093"
"3","3","encoding","encoding","10","Tap.jpg","3","0","2077"
"3","3","encoding","encoding","11","Watch.jpg","2","0","2827"
"3","3","encoding","encoding","12","CoffeeLid.jpg","1","0","2317"
"3","3","encoding","encoding","13","Milkshake_Chocolate.jpg","4","0","1938"
"3","3","encoding","encoding","14","PuppetTheatre_WhiteGold.jpg","2","0","2182"
"3","3","encoding","encoding","15","Triangle.jpg","1","0","2196"
"3","3","encoding","encoding","16","Bottle_Beer.jpg","2","0","2035"
"3","3","encoding","encoding","17","CarSeat.jpg","0","0","3000"
"3","3","encoding","encoding","18","Necklace_Pearl.jpg","2","0","2540"
"3","3","encoding","encoding","19","Staples.jpg","1","0","2361"
"3","3","encoding","encoding","20","Pasta_Macaroni.jpg","3","0","2474"
"3","3","encoding","encoding","21","Clock_Wall.jpg","1","0","2128"
"3","3","encoding","encoding","22","Ball_Baseball.jpg","2","0","1561"
"3","3","encoding","encoding","23","ScrewDriver.jpg","1","0","1745"
"3","3","encoding","encoding","24","CoffeeGrinder.jpg","3","0","2293"
"3","3","encoding","encoding","25","Keyhole.jpg","1","0","1706"
"3","3","encoding","encoding","26","Bag_Satchel.jpg","2","0","1915"
"3","3","encoding","encoding","27","Snorkle.jpg","1","0","1977"
"3","3","encoding","encoding","28","Bird_CanadianGoose.jpg","3","0","2246"
"3","3","encoding","encoding","29","Helmet_Knight.jpg","1","0","2094"
"3","3","encoding","encoding","30","PumiceStone.jpg","2","0","1452"
"3","3","encoding","encoding","31","Colosseum.jpg","3","0","1457"
"3","3","encoding","encoding","32","MeasuringTape.jpg","1","0","1800"
"3","3","encoding","encoding","33","Mixer_Hand.jpg","1","0","2537"
"3","3","encoding","encoding","34","Hat_Colonial.jpg","2","0","1765"
